date,category,resized_dimension,batch_size,color_augmentation,move_augmentation,model_type,loss,error_score,roc_auc,tpr,fpr
2026-07-10 19:20:20,bottle,"(128, 128)","16","True","True","convtl","mae","mse",0.939748201438849,0.9424460431654677,0.5
2026-07-10 19:21:57,transistor,"(128, 128)","16","True","True","convtl","mae","mse",0.7666666666666666,0.625,0.2
2026-07-10 19:26:08,cable,"(128, 128)","16","True","True","convtl","mae","mse",0.8131559220389805,0.6195652173913043,0.22413793103448276
2026-07-10 19:27:27,capsule,"(128, 128)","16","True","True","convtl","mae","mse",0.6023135221380136,0.29357798165137616,0.2608695652173913
2026-07-10 19:28:41,carpet,"(128, 128)","16","True","True","convtl","mae","mse",0.3623595505617977,0.25842696629213485,0.39285714285714285
2026-07-10 19:29:42,grid,"(128, 128)","16","True","True","convtl","mae","mse",0.7309941520467836,0.017543859649122806,0.0
2026-07-10 19:31:24,hazelnut,"(128, 128)","16","True","True","convtl","mae","mse",0.8085714285714286,0.7857142857142857,0.325
2026-07-10 19:32:35,leather,"(128, 128)","16","True","True","convtl","mae","mse",0.8590353260869565,0.9891304347826086,1.0
2026-07-10 19:34:02,metal_nut,"(128, 128)","16","True","True","convtl","mae","mse",0.8378816305645574,0.7298311444652908,0.3181818181818182
2026-07-10 19:35:21,pill,"(128, 128)","16","True","True","convtl","mae","mse",0.7392253136933987,0.6312056737588653,0.23076923076923078
2026-07-10 19:36:32,screw,"(128, 128)","16","True","True","convtl","mae","mse",0.05164992826398852,0.5714285714285714,1.0
2026-07-10 19:37:38,tile,"(128, 128)","16","True","True","convtl","mae","mse",0.7503607503607503,0.16666666666666666,0.0
2026-07-10 19:39:00,toothbrush,"(128, 128)","16","True","True","convtl","mae","mse",0.8027777777777778,0.6666666666666666,0.0
2026-07-10 19:40:33,wood,"(128, 128)","16","True","True","convtl","mae","mse",0.9543859649122807,0.85,0.0
2026-07-10 19:41:55,zipper,"(128, 128)","16","True","True","convtl","mae","mse",0.7507878151260504,0.7815126050420168,0.4375
2026-07-10 19:44:29,cable,"(64, 64)","16","True","True","convtl","mae","mse",0.7396926536731634,0.4891304347826087,0.1724137931034483
2026-07-10 19:45:38,capsule,"(64, 64)","16","True","True","convtl","mae","mse",0.5811727163940965,0.42201834862385323,0.391304347826087
2026-07-10 19:46:57,carpet,"(64, 64)","16","True","True","convtl","mae","mse",0.34991974317817015,0.25842696629213485,0.32142857142857145
2026-07-10 19:47:58,grid,"(64, 64)","16","True","True","convtl","mae","mse",0.7234753550543025,0.017543859649122806,0.0
2026-07-10 19:49:29,hazelnut,"(64, 64)","16","True","True","convtl","mae","mse",0.7821428571428574,0.6857142857142857,0.2
2026-07-10 19:50:32,leather,"(64, 64)","16","True","True","convtl","mae","mse",0.632133152173913,0.9782608695652174,1.0
2026-07-10 19:52:00,metal_nut,"(64, 64)","16","True","True","convtl","mae","mse",0.7804025243049633,0.7110694183864915,0.5
2026-07-10 19:53:20,pill,"(64, 64)","16","True","True","convtl","mae","mse",0.7054009819967266,0.5035460992907801,0.23076923076923078
2026-07-10 19:54:31,screw,"(64, 64)","16","True","True","convtl","mae","mse",0.0817790530846485,0.4117647058823529,0.975609756097561
2026-07-10 19:55:34,tile,"(64, 64)","16","True","True","convtl","mae","mse",0.8477633477633478,0.17857142857142858,0.0
2026-07-10 19:56:24,toothbrush,"(64, 64)","16","True","True","convtl","mae","mse",0.3666666666666667,0.2,0.25
2026-07-10 19:57:45,wood,"(64, 64)","16","True","True","convtl","mae","mse",0.9394736842105263,0.5166666666666667,0.05263157894736842
